[2025-04-17 18:19:05] CPU: 0.2% | Mem: 8.2% | Net Sent: 65085857472 B | Net Recv: 109337467322 B
[2025-04-17 18:19:11] CPU: 0.8% | Mem: 11.1% | Net Sent: 65085970526 B | Net Recv: 109337596915 B
[2025-04-17 18:19:17] CPU: 0.8% | Mem: 11.7% | Net Sent: 65086081572 B | Net Recv: 109337726705 B
[2025-04-17 18:19:23] CPU: 0.5% | Mem: 12.4% | Net Sent: 65086189739 B | Net Recv: 109337853220 B
[2025-04-17 18:19:29] CPU: 0.7% | Mem: 12.9% | Net Sent: 65086409432 B | Net Recv: 109338085092 B
[2025-04-17 18:19:35] CPU: 1.2% | Mem: 12.8% | Net Sent: 65086528414 B | Net Recv: 109338666802 B
[2025-04-17 18:19:41] CPU: 1.2% | Mem: 13.4% | Net Sent: 65086634797 B | Net Recv: 109338790136 B
[2025-04-17 18:19:47] CPU: 0.5% | Mem: 13.5% | Net Sent: 65086758170 B | Net Recv: 109339379605 B
[2025-04-17 18:19:53] CPU: 0.9% | Mem: 13.7% | Net Sent: 65086868445 B | Net Recv: 109339512587 B
[2025-04-17 18:19:59] CPU: 0.6% | Mem: 13.8% | Net Sent: 65087081008 B | Net Recv: 109339737927 B
[2025-04-17 18:20:05] CPU: 1.2% | Mem: 14.1% | Net Sent: 65087224246 B | Net Recv: 109339905535 B
[2025-04-17 18:20:11] CPU: 1.2% | Mem: 14.4% | Net Sent: 65087330738 B | Net Recv: 109340029724 B
[2025-04-17 18:20:17] CPU: 1.2% | Mem: 14.5% | Net Sent: 65087440453 B | Net Recv: 109340157709 B
[2025-04-17 18:20:23] CPU: 1.2% | Mem: 14.2% | Net Sent: 65087548790 B | Net Recv: 109340284390 B
[2025-04-17 18:20:29] CPU: 1.3% | Mem: 14.3% | Net Sent: 65087760603 B | Net Recv: 109340509034 B
[2025-04-17 18:20:35] CPU: 0.5% | Mem: 14.6% | Net Sent: 65087870599 B | Net Recv: 109340638288 B
[2025-04-17 18:20:41] CPU: 0.9% | Mem: 14.3% | Net Sent: 65087976817 B | Net Recv: 109340761789 B
[2025-04-17 18:20:47] CPU: 1.0% | Mem: 14.4% | Net Sent: 65088093610 B | Net Recv: 109340895912 B
[2025-04-17 18:20:53] CPU: 1.6% | Mem: 14.7% | Net Sent: 65088200689 B | Net Recv: 109341020945 B
[2025-04-17 18:20:59] CPU: 2.0% | Mem: 14.8% | Net Sent: 65088412335 B | Net Recv: 109341245494 B
[2025-04-17 18:21:05] CPU: 0.5% | Mem: 14.9% | Net Sent: 65088522825 B | Net Recv: 109341373870 B
[2025-04-17 18:21:11] CPU: 1.2% | Mem: 14.9% | Net Sent: 65088629298 B | Net Recv: 109341497222 B
[2025-04-17 18:21:17] CPU: 0.5% | Mem: 14.9% | Net Sent: 65088754792 B | Net Recv: 109341640088 B
