[2025-04-17 18:18:49] CPU: 0.2% | Mem: 8.3% | Net Sent: 76726435513 B | Net Recv: 103408266586 B
[2025-04-17 18:18:55] CPU: 0.0% | Mem: 8.3% | Net Sent: 76726542045 B | Net Recv: 103408391164 B
[2025-04-17 18:19:01] CPU: 0.0% | Mem: 8.3% | Net Sent: 76726652098 B | Net Recv: 103408518653 B
[2025-04-17 18:19:07] CPU: 0.0% | Mem: 8.3% | Net Sent: 76726775600 B | Net Recv: 103409105565 B
[2025-04-17 18:19:13] CPU: 0.0% | Mem: 8.3% | Net Sent: 76726881709 B | Net Recv: 103409228670 B
[2025-04-17 18:19:19] CPU: 0.1% | Mem: 8.3% | Net Sent: 76727093967 B | Net Recv: 103409454484 B
[2025-04-17 18:19:25] CPU: 0.0% | Mem: 8.3% | Net Sent: 76727199367 B | Net Recv: 103409577926 B
[2025-04-17 18:19:31] CPU: 0.0% | Mem: 8.3% | Net Sent: 76727308495 B | Net Recv: 103409704688 B
[2025-04-17 18:19:37] CPU: 0.0% | Mem: 8.3% | Net Sent: 76727417566 B | Net Recv: 103409831028 B
[2025-04-17 18:19:43] CPU: 0.0% | Mem: 8.3% | Net Sent: 76727524743 B | Net Recv: 103409956047 B
[2025-04-17 18:19:49] CPU: 0.1% | Mem: 8.3% | Net Sent: 76727902114 B | Net Recv: 103416588506 B
[2025-04-17 18:19:55] CPU: 0.0% | Mem: 8.3% | Net Sent: 76728031712 B | Net Recv: 103416735682 B
[2025-04-17 18:20:01] CPU: 0.0% | Mem: 8.3% | Net Sent: 76728142296 B | Net Recv: 103416867603 B
[2025-04-17 18:20:07] CPU: 0.0% | Mem: 8.3% | Net Sent: 76728251198 B | Net Recv: 103416994542 B
[2025-04-17 18:20:13] CPU: 0.0% | Mem: 8.3% | Net Sent: 76728357688 B | Net Recv: 103417118202 B
[2025-04-17 18:20:19] CPU: 0.1% | Mem: 8.3% | Net Sent: 76728581551 B | Net Recv: 103417800379 B
